2.36	2.44263	0
1.19826	3.95241	0
2.31826	4.27705	0
2.33565	3.47523	0
2.36348	2.34485	0
2.36348	1.54302	0
2.34957	2.72816	0
2.32174	3.90548	0
2.31478	4.20274	0
2.32174	4.33963	0
1.17391	4.38266	0
1.60522	1.91069	0
1.59826	1.96936	0
1.17391	4.32399	0
1.60522	1.66819	0
1.60522	1.73077	0
1.60522	1.78944	0
1.6087	1.8442	0
1.59826	1.51565	0
1.60522	1.56258	0
1.6087	1.60952	0
2.36696	1.83638	0
1.26087	3.54954	0
2.36348	2.24707	0
1.17391	4.45306	0
2.34957	2.82595	0
2.34957	2.90417	0
2.35304	2.64602	0
1.25391	3.62777	0
2.3287	3.58866	0
2.36696	1.72686	0
2.34261	2.98631	0
2.34957	3.07236	0
2.32174	3.97979	0
1.23652	3.69035	0
2.32174	4.12842	0
2.36696	1.63299	0
1.18087	4.19883	0
1.18087	4.24967	0
1.22609	3.7764	0
2.36348	1.94589	0
1.47304	2.66558	0
1.45217	2.7399	0
1.50087	2.51695	0
1.48348	2.59518	0
1.54261	2.3292	0
1.51478	2.41917	0
1.57043	2.17666	0
1.55652	2.25098	0
1.5913	2.03585	0
1.58087	2.10235	0
2.33565	3.38136	0
1.18783	4.03455	0
2.33913	3.30313	0
1.18435	4.12451	0
2.32174	4.38266	0
2.31826	4.43742	0
2.36	2.54824	0
2.3287	3.82334	0
1.2087	3.87027	0
2.32174	4.0502	0
1.31304	3.31877	0
1.33043	3.24446	0
1.33739	3.1897	0
1.35826	3.1193	0
1.37913	3.03325	0
1.39652	2.94329	0
1.41391	2.87679	0
1.43826	2.80639	0
2.36348	2.12973	0
2.36	2.03194	0
2.34609	3.22099	0
2.34609	3.14276	0
2.3287	3.73729	0
2.3287	3.66297	0
1.2887	3.46741	0
1.29217	3.39309	0
